trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.3, 'e': 0.1808657926171221}",25,0,-57.87712389267321,"{0: 20, 1: 1, 2: 0, 3: 4, 4: 0}",0
96,False,"{'a': 0.3, 'e': 0.17763933359513498}",20,0,-38.44912627315149,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
97,False,"{'a': 0.3, 'e': 0.17447043127123835}",30,0,-8.378802666890293,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.17135805889335742}",30,12,-5.229302812234018,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.1683012080256144}",20,0,-11.361525778337244,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.16529888822158656}",25,0,3.0164833786740957,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
101,False,"{'a': 0.3, 'e': 0.16235012670339283}",25,10,0.7663966109226132,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.15945396804650522}",20,0,-51.27971392895043,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
103,False,"{'a': 0.3, 'e': 0.15660947387018306}",25,17,15.544338956285028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.15381572253342932}",25,0,-46.59612737225512,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
105,False,"{'a': 0.3, 'e': 0.15107180883637086}",20,13,4.303125202034341,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.14837684372696586}",20,0,4.6454778863913795,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.3, 'e': 0.14572995401294303}",25,8,14.156777424433486,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.14313028207887982}",20,0,18.376746464662137,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.3, 'e': 0.14057698560832743}",35,11,-49.240960727286065,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 1}",1
110,False,"{'a': 0.3, 'e': 0.13806923731089285}",20,3,8.38478492843971,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.3, 'e': 0.13560622465418973}",20,12,14.985119863359323,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3, 'e': 0.1331871496005706}",30,4,23.199139597165395,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.13081122834855588}",25,3,6.443785674756171,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.12847769107887502}",20,8,1.7799537012146813,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.12618578170503877}",20,9,21.752036431288424,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.12393475762836008}",25,0,-30.913539666434115,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.3, 'e': 0.12172388949734589}",20,4,3.8893398099407115,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.11955246097138099}",25,3,11.422933194433611,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.11741976848862698}",20,0,4.8160850082976525,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.3, 'e': 0.11532512103806256}",25,19,2.91108824377453,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.11326783993558948}",20,7,15.193977849863735,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.11124725860413336}",20,6,-42.79321614077975,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.3, 'e': 0.10926272235766643}",20,0,28.96373282329094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.3, 'e': 0.10731358818908407}",25,15,14.092350729714152,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.10539922456186433}",20,5,17.824071550965236,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.10351901120544506}",20,6,7.462489215246246,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.1016723389142504}",20,0,20.714334249833822,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
